OBJECTID,Point,E,N,Elevation,Code,OldPoint,DetectM34
81,50801,2803567.140000000130385,1266622.979999999981374,7448.449999999999818,PITRCK,,
82,50802,2804567.279999999795109,1266592.780000000027940,7454.539999999999964,PITRCK,,
83,50804,2803117.770000000018626,1266475.199999999953434,7448.699999999999818,PITRCK,,
84,50805,2804614.439999999944121,1266585.850000000093132,7454.829999999999927,PITRCK,,
85,50807,2803614.740000000223517,1266656.689999999944121,7448.449999999999818,PITRCK,,
86,50811,2804626.500000000000000,1266556.360000000102445,7456.210000000000036,PITRCK,,
87,50812,2804604.580000000074506,1266552.810000000055879,7456.020000000000437,PITRCK,,
88,50814,2804603.930000000167638,1266563.639999999897555,7455.430000000000291,PITRCK,,
89,50817,2803790.370000000111759,1266665.659999999916181,7448.770000000000437,PITRCK,,
90,50818,2804600.250000000000000,1266586.929999999934807,7454.750000000000000,PITRCK,,
91,50819,2803784.890000000130385,1266659.780000000027940,7448.760000000000218,PITRCK,,
92,50821,2804578.319999999832362,1266600.870000000111759,7455.069999999999709,PITRCK,,
93,50822,2804452.069999999832362,1266569.659999999916181,7453.420000000000073,PITRCK,,
94,50823,2803326.649999999906868,1266565.479999999981374,7448.930000000000291,PITRCK,,
95,50825,2804573.740000000223517,1266610.260000000009313,7455.300000000000182,PITRCK,,
96,50826,2803866.439999999944121,1266671.169999999925494,7450.329999999999927,PITRCK,,
97,50827,2804554.819999999832362,1266592.030000000027940,7454.489999999999782,PITRCK,,
98,50828,2804572.600000000093132,1266594.149999999906868,7455.319999999999709,PITRCK,,
99,50829,2804564.740000000223517,1266582.149999999906868,7454.460000000000036,PITRCK,,
100,50830,2803112.080000000074506,1266390.120000000111759,7449.050000000000182,PITRCK,,
101,50832,2804543.240000000223517,1266564.090000000083819,7454.439999999999600,PITRCK,,
102,50835,2803959.020000000018626,1266624.540000000037253,7451.710000000000036,PITRCK,,
103,50836,2804576.890000000130385,1266551.260000000009313,7455.329999999999927,PITRCK,,
104,50837,2804509.879999999888241,1266596.250000000000000,7455.800000000000182,PITRCK,,
105,50839,2804519.620000000111759,1266585.129999999888241,7454.819999999999709,PITRCK,,
106,50840,2803868.540000000037253,1266660.739999999990687,7450.529999999999745,PITRCK,,
107,50843,2804525.000000000000000,1266563.080000000074506,7454.069999999999709,PITRCK,,
108,50844,2803657.669999999925494,1266626.270000000018626,7448.409999999999854,PITRCK,,
109,50845,2804496.160000000149012,1266541.929999999934807,7453.210000000000036,PITRCK,,
110,50847,2804489.979999999981374,1266541.909999999916181,7453.050000000000182,PITRCK,,
111,50848,2803575.080000000074506,1266619.590000000083819,7448.390000000000327,PITRCK,,
112,50849,2804515.430000000167638,1266536.010000000009313,7454.960000000000036,PITRCK,,
113,50850,2804253.339999999850988,1266614.139999999897555,7453.750000000000000,PITRCK,,
114,50851,2804251.339999999850988,1266610.419999999925494,7453.390000000000327,PITRCK,,
115,50852,2804234.459999999962747,1266614.189999999944121,7453.750000000000000,PITRCK,,
116,50853,2803768.790000000037253,1266651.139999999897555,7448.380000000000109,PITRCK,,
117,50854,2803530.220000000204891,1266641.300000000046566,7448.569999999999709,PITRCK,,
118,50855,2803790.850000000093132,1266630.840000000083819,7448.640000000000327,PITRCK,,
119,50856,2803471.399999999906868,1266663.620000000111759,7449.000000000000000,PITRCK,,
120,50857,2803807.479999999981374,1266652.939999999944121,7449.130000000000109,PITRCK,,
121,50859,2803938.220000000204891,1266623.010000000009313,7451.329999999999927,PITRCK,,
122,50862,2803694.350000000093132,1266666.419999999925494,7448.199999999999818,PITRCK,,
123,50863,2803547.709999999962747,1266645.050000000046566,7448.619999999999891,PITRCK,,
124,50865,2803825.979999999981374,1266657.840000000083819,7450.260000000000218,PITRCK,,
125,50867,2803516.680000000167638,1266659.979999999981374,7448.310000000000400,PITRCK,,
126,50868,2804146.520000000018626,1266631.659999999916181,7453.020000000000437,PITRCK,,
127,50869,2803118.490000000223517,1266449.550000000046566,7449.779999999999745,PITRCK,,
128,50871,2803754.709999999962747,1266647.000000000000000,7448.350000000000364,PITRCK,,
129,50874,2803122.930000000167638,1266464.179999999934807,7448.760000000000218,PITRCK,,
130,50875,2803145.470000000204891,1266458.169999999925494,7448.020000000000437,PITRCK,,
131,50876,2804171.160000000149012,1266637.540000000037253,7453.500000000000000,PITRCK,,
132,50878,2804190.459999999962747,1266621.469999999972060,7453.720000000000255,PITRCK,,
133,50880,2803651.370000000111759,1266642.540000000037253,7448.569999999999709,PITRCK,,
134,50883,2804003.549999999813735,1266655.929999999934807,7451.430000000000291,PITRCK,,
135,50885,2803846.100000000093132,1266650.860000000102445,7450.050000000000182,PITRCK,,
136,50887,2802849.200000000186265,1266239.100000000093132,7447.609999999999673,PITRCK,,
137,50891,2803441.120000000111759,1266630.770000000018626,7448.289999999999964,PITRCK,,
138,50893,2804144.990000000223517,1266630.250000000000000,7453.220000000000255,PITRCK,,
139,50894,2803279.759999999776483,1266545.239999999990687,7448.899999999999636,PITRCK,,
140,50895,2803780.609999999869615,1266640.030000000027940,7448.289999999999964,PITRCK,,
141,50897,2803464.740000000223517,1266629.189999999944121,7448.199999999999818,PITRCK,,
142,50899,2804171.330000000074506,1266643.080000000074506,7453.899999999999636,PITRCK,,
143,50900,2805198.160000000149012,1266508.889999999897555,7457.850000000000364,PITRCK,,
144,50901,2805209.209999999962747,1266503.729999999981374,7457.619999999999891,PITRCK,,
145,50902,2805214.899999999906868,1266496.860000000102445,7457.630000000000109,PITRCK,,
146,50903,2805192.020000000018626,1266516.489999999990687,7456.789999999999964,PITRCK,,
147,50905,2805185.870000000111759,1266503.110000000102445,7457.689999999999600,PITRCK,,
148,50906,2805177.859999999869615,1266497.939999999944121,7454.960000000000036,PITRCK,,
149,50908,2805162.009999999776483,1266514.699999999953434,7456.899999999999636,PITRCK,,
150,50909,2805158.399999999906868,1266509.750000000000000,7455.359999999999673,PITRCK,,
151,50910,2804793.890000000130385,1266584.560000000055879,7454.109999999999673,PITRCK,,
152,50912,2803750.729999999981374,1266647.379999999888241,7448.789999999999964,PITRCK,,
153,50919,2803709.709999999962747,1266658.120000000111759,7448.369999999999891,PITRCK,,
154,50920,2804135.549999999813735,1266641.110000000102445,7452.729999999999563,PITRCK,,
155,50921,2804482.959999999962747,1266576.409999999916181,7454.210000000000036,PITRCK,,
156,50922,2804657.029999999795109,1266599.669999999925494,7454.960000000000036,PITRCK,,
157,50923,2802150.919999999925494,1268070.330000000074506,7545.329999999999927,20,,
158,50924,2804584.390000000130385,1266590.949999999953434,7454.789999999999964,PITRCK,,
159,50926,2804173.790000000037253,1266623.610000000102445,7452.779999999999745,PITRCK,,
160,50928,2804367.669999999925494,1266553.379999999888241,7452.890000000000327,PITRCK,,
161,50929,2804188.609999999869615,1266604.090000000083819,7452.920000000000073,PITRCK,,
162,50939,2802889.919999999925494,1266288.080000000074506,7448.800000000000182,PITRCK,,
163,50951,2803123.509999999776483,1266408.449999999953434,7448.729999999999563,PITRCK,,
164,50952,2803478.229999999981374,1266595.340000000083819,7451.119999999999891,PITRCK,,
165,50954,2803091.750000000000000,1266382.530000000027940,7448.810000000000400,PITRCK,,
166,50956,2803095.779999999795109,1266397.800000000046566,7450.119999999999891,PITRCK,,
167,50959,2803036.839999999850988,1266435.560000000055879,7449.170000000000073,PITRCK,,
168,50962,2802562.450000000186265,1266085.260000000009313,7447.050000000000182,PITRCK,,
169,50964,2802576.729999999981374,1266071.959999999962747,7447.390000000000327,PITRCK,,
170,50966,2801639.259999999776483,1265852.350000000093132,7442.630000000000109,PITRCK,,
171,50967,2802591.970000000204891,1266171.560000000055879,7449.029999999999745,PITRCK,,
172,50971,2802011.819999999832362,1265835.479999999981374,7443.430000000000291,PITRCK,,
173,50816,2802850.649999999906868,1266275.040000000037253,7448.649999999999636,PITRCK?,146502,
174,50925,2802752.129999999888241,1266217.649999999906868,7445.319999999999709,PITRCK?,146503,
175,50870,2802722.979999999981374,1266159.330000000074506,7447.489999999999782,PITRCK?,146504,
177,50860,2803749.682210549712181,1266651.102831140160561,,PITRCK,,1
178,50935,2803141.523649979848415,1266412.939265470020473,,PITRCK,,1
179,50735,2806221.949575719889253,1266601.076684470055625,,PITRCK,,1
180,50719,2805242.018136640079319,1266566.489811389939860,,PITRCK,,1
181,50786,2806081.628005969803780,1266553.722448480082676,,PITRCK,,1
182,50809,2804495.513067979831249,1266566.165993140079081,,PITRCK,,1
183,50879,2803095.265212299767882,1266474.142227049916983,,PITRCK,,1
184,50742,2806268.080717059783638,1266558.459315639920533,,PITRCK,,1
185,50789,2806175.114695639815181,1266589.420867889886722,,PITRCK,,1
186,50842,2803796.612890969961882,1266674.774699809961021,,PITRCK,,1
187,50732,2806175.163251969963312,1266595.613440810004249,,PITRCK,,1
